-4.77,82.185,21.034,124.972,120.675,178.814,2.689,12.5
-5.023,78.189,21.034,81.488,99.916,180.865,2.681,12.6
-5.026,82.979,21.034,63.687,90.891,180.865,2.676,11.8
-5.027,90.289,21.034,70.307,86.306,179.773,2.664,10.2
-5.029,95.391,21.062,59.042,89.16,178.952,2.663,9.7
-5.031,100.68,21.112,70.344,94.949,178.404,2.67,9.8
-5,95.881,21.412,138.541,95.975,177.584,2.689,11.4
-4.917,89.182,21.412,179.965,94.36,176.767,2.701,11.6
-4.958,77.713,21.412,184.254,90.53,178.27,2.707,11.6
-4.916,71.388,21.412,70.934,81.201,179.225,2.703,11.6
-4.75,67.126,21.379,86.674,62.461,178.129,2.69,12.2
-4.75,67.751,21.313,70.714,56.168,175.944,2.682,13.3
-4.75,70.001,21.034,52.631,59.518,177.994,2.66,15.9
-4.75,75.874,21.034,53.314,60.302,178.814,2.663,16.1
-4.75,83.767,21.034,89.839,63.514,180.317,2.659,15.7
-4.792,87.497,21.034,139.035,69.42,182.775,2.653,15.1
-4.875,89.834,21.034,53.324,80.519,186.335,2.642,14.6
-4.875,89.501,21.034,50.93,84.7,185.787,2.63,14.9
-4.875,89.417,21.034,114.799,78.85,186.331,2.636,15
-4.708,92.172,21.034,70.373,72.643,186.879,2.65,15.6
-4.625,94.816,21.034,64.671,68.881,185.645,2.658,15.5
-4.667,98.627,21.034,54.073,63.697,183.188,2.663,14.3
-4.75,101.25,21.034,42.722,61.869,183.736,2.659,13.3
-4.625,101.313,21.034,57.281,61.632,182.096,2.642,11.9
-4.542,100.355,21.034,59.249,64.881,181.823,2.635,11.9
-4.5,100.749,21.034,54.559,75.77,180.865,2.627,13
-4.542,100.876,21.034,79.725,85.627,180.455,2.626,13.6
-4.583,98.216,21.034,99.572,94.195,180.455,2.632,14.2
-4.5,94.134,21.034,375.611,90.39,180.455,2.642,14.9
-4.625,84.307,21.034,88.976,82.437,178.811,2.658,16.5
-4.458,81.683,21.034,65.711,86.234,177.719,2.641,18.7
-4.459,85.012,21.034,45.069,87.614,178.27,2.622,19.5
-4.625,102.345,21.034,129.444,88.083,181.275,2.592,17.1
-4.625,118.504,21.034,184.87,91.062,182.916,2.575,14
-4.875,135.873,21.034,81.63,106.236,187.837,2.568,7.9
-4.875,141.788,21.034,41.852,99.68,189.478,2.576,8
-5.041,136.176,21.034,49.49,84.252,190.298,2.599,10.9
-5.125,127.804,21.041,65.413,77.01,190.298,2.614,13.8
-5.166,113.816,21.054,55.996,76.808,190.57,2.626,17.2
-5.25,102.153,21.054,77.927,81.038,191.118,2.627,17.9
-5.25,92.614,21.173,96.65,99.844,182.506,2.641,17
-5.333,86.825,21.24,116.117,117.128,181.958,2.652,16.2
-5.417,83.938,21.199,191.582,128.181,181.137,2.656,16.7
